number,txtment,bbr2_intensity,bbr2_intensity
26,control,396.877,396.877
26,control,425.346,425.346
26,control,473.225,473.225
26,control,427.397,427.397
26,control,446.894,446.894
26,RNAi,263.26,263.26
26,RNAi,275.359,275.359
26,RNAi,262.675,262.675
26,RNAi,271.016,271.016
26,RNAi,274.189,274.189
27,control,362.042,362.042
27,control,396.752,396.752
27,control,395.056,395.056
27,control,399.201,399.201
27,control,455.943,455.943
27,RNAi,458.546,458.546
27,RNAi,466.318,466.318
27,RNAi,593.139,593.139
27,RNAi,585.793,585.793
27,RNAi,746.039,746.039
55,control,513.698,513.698
55,control,814.836,814.836
55,control,754.009,754.009
55,control,722.869,722.869
55,control,661.286,661.286
55,RNAi,527.984,527.984
55,RNAi,436.197,436.197
55,RNAi,496.979,496.979
55,RNAi,537.503,537.503
55,RNAi,401.113,401.113
57,control,621.935,621.935
57,control,512.793,512.793
57,control,546.314,546.314
57,control,728.435,728.435
57,control,544.906,544.906
57,RNAi,760.009,760.009
57,RNAi,928.042,928.042
57,RNAi,690.651,690.651
57,RNAi,857.377,857.377
57,RNAi,735.091,735.091
26,control,467.017,467.017
26,control,503.994,503.994
26,control,353.7,353.7
26,control,478.151,478.151
26,control,441.829,441.829
26,RNAi,250.578,250.578
26,RNAi,227.006,227.006
26,RNAi,265.642,265.642
26,RNAi,270.687,270.687
26,RNAi,257.913,257.913
27,control,498.282,498.282
27,control,501.606,501.606
27,control,516.977,516.977
27,control,529.286,529.286
27,control,561.485,561.485
27,RNAi,589.296,589.296
27,RNAi,665.991,665.991
27,RNAi,617.88,617.88
27,RNAi,429.911,429.911
27,RNAi,539.413,539.413
55,control,771.917,771.917
55,control,797.968,797.968
55,control,705.433,705.433
55,control,611.209,611.209
55,control,571.222,571.222
55,RNAi,589.877,589.877
55,RNAi,534.644,534.644
55,RNAi,596.4,596.4
55,RNAi,715.732,715.732
55,RNAi,588.726,588.726
57,control,590.049,590.049
57,control,595.652,595.652
57,control,593.171,593.171
57,control,568.578,568.578
57,control,675.334,675.334
57,RNAi,572.517,572.517
57,RNAi,580.824,580.824
57,RNAi,741.506,741.506
